id,name,lastname,total
10,James,Lavoisier,73.17796504504058
32,Samuel,Fermi,73.09493147116578
24,Ringo,Maxwell,71.48064990086962
34,Samuel,Lavoisier,69.26444199447734
24,Ringo,Maxwell,65.34702049159344
5,John,Pasteur,64.5278898203724
22,Paul,Lavoisier,63.28526894160776
22,Paul,Lavoisier,61.425421353034935
41,Sam,Pasteur,60.77799949217106
21,Paul,Feynman,54.641202467563325
38,Sam,Fermi,54.635600426844064
59,Jane,Pasteur,52.64239549683007
29,Ringo,Pasteur,51.73605361605959
15,Peter,Feynman,51.36702518986868
50,Sarah,Fermi,51.16828884378741
17,Peter,Pasteur,50.91273763436682
44,Mary,Fermi,46.91370696265276
32,Samuel,Fermi,46.068965485955175
28,Ringo,Lavoisier,45.54089635777855
34,Samuel,Lavoisier,43.67227911315488
3,John,Feynman,40.34169368202541
44,Mary,Fermi,39.20812389251662
9,James,Feynman,38.5374454216988
47,Mary,Pasteur,38.279942132039736
37,Sam,Heisenberg,37.190652332205616
46,Mary,Lavoisier,36.668828177075135
51,Sarah,Feynman,34.59258967318633
20,Paul,Fermi,34.399455367824324
19,Paul,Heisenberg,33.6581629396633
34,Samuel,Lavoisier,32.31761482321626
44,Mary,Fermi,29.143316863442514
54,Jane,Maxwell,28.20288137929573
5,John,Pasteur,25.221717724884
57,Jane,Feynman,23.145479220995195
44,Mary,Fermi,23.145479220995195
6,James,Maxwell,22.810544398180586
25,Ringo,Heisenberg,20.870504371025124
0,John,Maxwell,18.943120182823662
45,Mary,Feynman,18.865688649668115
29,Ringo,Pasteur,18.295698321959797
45,Mary,Feynman,16.925648622512657
35,Samuel,Pasteur,16.296891351226538
40,Sam,Lavoisier,15.356455867079756
8,James,Fermi,12.710227035482632
38,Sam,Fermi,10.435252185512562
36,Sam,Maxwell,9.806494914226445
5,John,Pasteur,9.394128558256284
58,Jane,Lavoisier,6.490396437000094
48,Sarah,Maxwell,5.884895775667927
15,Peter,Feynman,2.90373212125619
